Filename	Category Code	Column Number	Data Label	Data Label Source	Controlled Vocab Code	Source Column	Source Column Alternative	caDSR CDE ID	Class	Required Avs	Property to Return Value
tcga-melanoma.txt	OMIT	30	American Joint Committee on Cancer Publication Version Type			system_version		2722309			
tcga-melanoma.txt	OMIT	31	Neoplasm Disease Stage American Joint Committee on Cancer Code			pathologic_stage		3203222			
tcga-melanoma.txt	Primary Site+Stage of Disease	32	American Joint Committee on Cancer Tumor Stage Code			pathologic_T		3045435	MelanomaCancerPhenotype		hasPathologicTClassification
tcga-melanoma.txt	Primary Site+Stage of Disease	33	Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code			pathologic_N		3203106	MelanomaCancerPhenotype		hasPathologicNClassification
tcga-melanoma.txt	Primary Site+Stage of Disease	34	American Joint Committee on Cancer Metastasis Stage Code			pathologic_M		3045439	MelanomaCancerPhenotype		hasPathologicMClassification
tcga-melanoma.txt	OMIT	35	Submitted Specimen Diagnosis Less Initial Pathologic Diagnosis Date Calculated Day Value			days_to_submitted_specimen_dx		3430945			
tcga-melanoma.txt	OMIT	36	Tumor Disease Anatomic Site			tumor_tissue_site		3427536			
tcga-melanoma.txt	OMIT	37	Melanoma Origin Skin Anatomic Site			melanoma_origin_skin_anatomic_site		3108474			
tcga-melanoma.txt	OMIT	38	Prior Systemic Therapy Type			prior_systemic_therapy_type		3119700			
tcga-melanoma.txt	OMIT	39	Adjuvant Postoperative Radiation Therapy Administered Ind-3			radiation_therapy		2005312			
tcga-melanoma.txt	OMIT	40	Adjuvant Postoperative Pharmaceutical Therapy Administered Indicator			postoperative_rx_tx		3397567			
tcga-melanoma.txt	OMIT	41	New Neoplasm Event Diagnosis Prior To Submitted Specimen Diagnosis Indicator			new_tumor_dx_prior_submitted_specimen_dx		3427563			
tcga-melanoma.txt	OMIT	42	New Tumor Event Metastasis Anatomic Site			new_tumor_metastasis_anatomic_site		3430936			
tcga-melanoma.txt	OMIT	43	New Tumor Event Metastasis Anatomic Site Other Specify Text			new_tumor_metastasis_anatomic_site_other_text		3427578			
tcga-melanoma.txt	OMIT	44	New Tumor Event Metastasis Anatomic Site			new_tumor_metastasis_anatomic_site		3430936			
tcga-melanoma.txt	OMIT	45	New Tumor Event Metastasis Anatomic Site Other Specify Text			new_tumor_metastasis_anatomic_site_other_text		3427578			
tcga-melanoma.txt	OMIT	46	New Non Melanoma Event Histologic Type Text			new_non_melanoma_event_histologic_type_text		3427610			
tcga-melanoma.txt	OMIT	47	OMIT			day_of_form_completion		2975716			
tcga-melanoma.txt	OMIT	48	OMIT			month_of_form_completion		2975718			
tcga-melanoma.txt	OMIT	49	OMIT			year_of_form_completion		2975720			
tcga-melanoma.txt	OMIT	50	Radiation Therapy Begin Less Initial Pathologic Diagnosis Date Calculated Day Value			days_to_radiation_therapy_start		3008313			
tcga-melanoma.txt	OMIT	51	Radiation Therapy End Less Initial Pathologic Diagnosis Date Calculated Day Value			days_to_radiation_therapy_end		3008333			
tcga-melanoma.txt	OMIT	52	Radiation Therapy Total Dose Text			radiation_dosage		2721441			
tcga-melanoma.txt	OMIT	53	Radiation Therapy Administered Dose UOM			units		61446			
tcga-melanoma.txt	OMIT	54	Radiation Therapy Total Fractions Count			numfractions		61465			
tcga-melanoma.txt	OMIT	55	Radiation Therapy Disease Location Category			anatomic_treatment_site		2793522			
tcga-melanoma.txt	OMIT	56	Radiation Therapy Continue Occurrence Indicator			radiation_treatment_ongoing		2842745			
tcga-melanoma.txt	OMIT	57	Current Treatment Study Best Response Type			measure_of_response		2857291			
tcga-melanoma.txt	OMIT	58	OMIT			day_of_form_completion		2975716			
tcga-melanoma.txt	OMIT	59	OMIT			month_of_form_completion		2975718			
tcga-melanoma.txt	OMIT	60	OMIT			year_of_form_completion		2975720			
